Symbol,Industry,Cap
BCPC,Basic Industries,Mid-cap
MEOH,Basic Industries,Mid-cap
SHLM,Basic Industries,Small-cap
AMRK,Basic Industries,Micro-cap
ILMN,Capital Goods,Large-cap
BRKR,Capital Goods,Mid-cap
AAON,Capital Goods,Small-cap
ACAT,Capital Goods,Micro-cap
BEAV,Consumer Durables,Mid-cap
FELE,Consumer Durables,Small-cap
HAS,Consumer Non-Dur.,Large-cap
CALM,Consumer Non-Dur.,Mid-cap
COKE,Consumer Non-Dur.,Small-cap
AMZN,Consumer Services,Mega-cap
CHTR,Consumer Services,Large-cap
CMCSA,Consumer Services,Large-cap
UHAL,Consumer Services,Mid-cap
ASPS,Consumer Services,Small-cap
BBGI,Consumer Services,Micro-cap
IEP,Energy,Mid-cap
PTEN,Energy,Mid-cap
ARLP,Energy,Small-cap
AXAS,Energy,Micro-cap
CME,Finance,Large-cap
NDAQ,Finance,Large-cap
ANAT,Finance,Mid-cap
BGCP,Finance,Mid-cap
AMBC,Finance,Small-cap
ANCB,Finance,Micro-cap
ALXN,Healthcare,Large-cap
CELG,Healthcare,Large-cap
ABMD,Healthcare,Mid-cap
IDXX,Healthcare,Mid-cap
ACOR,Healthcare,Small-cap
ADUS,Healthcare,Micro-cap
CTRP,Miscellaneous,Large-cap
EBAY,Miscellaneous,Large-cap
AKAM,Miscellaneous,Mid-cap
ATHN,Miscellaneous,Mid-cap
EXLS,Miscellaneous,Small-cap
ARTX,Miscellaneous,Micro-cap
VOD,Public Utilities,Large-cap
AMOV,Public Utilities,Large-cap
BBRY,Public Utilities,Mid-cap
ADTN,Public Utilities,Small-cap
ALSK,Public Utilities,Micro-cap
GOOG,Technology,Mega-cap
AAPL,Technology,Mega-cap
FB,Technology,Mega-cap
MSFT,Technology,Mega-cap
ADBE,Technology,Large-cap
BIDU,Technology,Large-cap
ANSS,Technology,Mid-cap
ACXM,Technology,Small-cap
AMSWA,Technology,Micro-cap
AIRT,Transportation,Micro-cap
AAL,Transportation,Large-cap
CHRW,Transportation,Large-cap
ALGT,Transportation,Mid-cap
AIRM,Transportation,Small-cap
DRYS,Transportation,Micro-cap
